absolute_humidity_2m:gm3,clear_sky_rad:W,dew_point_2m:C,diffuse_rad:W,diffuse_rad_1h:Ws,direct_rad:W,direct_rad_1h:Ws,dust_0p03um_0p55um:ugm3,dust_0p55um_0p9um:ugm3,dust_0p9um_20um:ugm3,effective_cloud_cover:p,fresh_snow_1h:cm,frost_depth:cm,global_rad:W,global_rad_1h:Ws,high_cloud_cover:p,is_fog_1h:idx,is_rain_1h:idx,is_sleet_1h:idx,is_snow_1h:idx,low_cloud_cover:p,medium_cloud_cover:p,neff:p,pm1:ugm3,pm10:ugm3,pm2p5:ugm3,precip_1h:mm,prob_precip_1h:p,relative_humidity_2m:p,sfc_pressure_mean_1h:hPa,snowdepth:cm,snow_melt_1h:mm,sunrise:sql,sunset:sql,sunshine_duration_1h:min,t_0m:C,t_2m:C,t_max_0m_1h:C,t_mean_0m_1h:C,t_min_0m_1h:C,total_cloud_cover:p,wet_bulb_t_2m:C,wind_dir_10m:d,wind_dir_mean_10m_1h:d,wind_gusts_10m:ms,wind_speed_10m:ms,wind_speed_mean_10m_1h:ms,wind_speed_u_10m:ms,wind_speed_v_10m:ms
10.1,26.6,11.1,10.7,147921.5,0.1,20536.3,0.028,0.251,0.318,99.5,0.0,0.0,10.9,168457.8,93.0,0.0,1.0,0.0,0.0,90.9,88.9,99.5,5.633,9.8,6.84,0.27,13.8,93.6,971.8,0.0,0.0,2020-04-24 10:45:00,2020-04-25 00:22:00,5.5,11.6,12.1,12.5,12.0,11.6,99.3,11.5,51.3,54.9,9.1,4.2,4.1,-3.3,-2.7
6.2,24.4,4.0,14.0,146514.0,10.5,234409.8,0.021,0.193,2.614,12.8,0.0,0.0,24.5,380923.9,0.0,0.0,0.0,0.0,0.0,0.0,12.8,12.8,8.85,16.067,10.547,0.0,1.0,61.0,968.3,0.0,0.0,2020-04-23 10:44:00,2020-04-24 00:21:00,52.3,8.9,11.2,13.5,11.0,8.4,12.8,7.6,126.9,149.0,6.8,2.8,2.6,-2.3,1.7
9.4,26.0,10.0,7.7,92146.5,0.2,4947.2,0.039,0.345,0.771,96.7,0.0,0.0,7.9,97093.7,97.2,0.0,1.0,0.0,0.0,2.9,93.3,96.7,7.139,12.593,8.691,0.62,29.4,95.0,960.0,0.0,0.0,2020-04-24 10:42:00,2020-04-25 00:22:00,4.0,10.2,10.8,11.2,10.6,10.1,99.2,10.4,67.6,71.4,6.4,3.1,3.1,-2.9,-1.2
8.7,508.4,9.6,84.4,323645.4,377.3,1682221.2,0.318,3.216,25.055,0.0,0.0,0.0,461.7,2005866.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.923,33.56,17.266,0.0,1.0,35.2,1013.5,0.0,0.0,2020-04-23 13:11:00,2020-04-24 02:29:00,60.0,31.8,26.2,34.8,33.1,31.5,0.0,16.4,255.6,256.8,9.4,5.1,5.2,4.9,1.3
9.2,510.8,10.7,85.8,327892.8,372.1,1660833.9,0.616,6.367,30.864,0.0,0.0,0.0,457.8,1988726.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.383,46.853,25.721,0.0,1.0,34.2,1007.9,0.0,0.0,2020-04-24 13:10:00,2020-04-25 02:29:00,60.0,34.4,27.9,38.5,36.2,33.9,0.0,17.4,233.5,232.8,6.4,4.9,4.8,4.0,2.9
6.8,134.3,5.5,47.3,219418.3,86.0,581920.4,0.024,0.22,3.622,0.0,0.0,0.0,133.3,801338.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.079,23.535,15.506,0.0,1.0,53.4,974.6,0.0,0.0,2020-04-23 11:14:00,2020-04-24 01:07:00,60.0,13.9,14.9,16.8,15.2,13.5,0.0,9.9,52.2,66.4,6.3,2.9,3.0,-2.3,-1.8
7.8,137.8,7.4,60.0,367628.0,28.9,177733.7,0.035,0.295,3.75,77.2,0.0,0.0,89.0,545361.6,88.9,0.0,0.0,0.0,0.0,15.8,51.2,77.2,11.518,21.39,13.863,0.0,1.0,62.3,975.3,0.0,0.0,2020-04-24 11:12:00,2020-04-25 01:08:00,29.3,13.4,14.5,16.6,14.8,13.0,93.6,10.6,115.4,127.1,3.7,1.6,1.5,-1.4,0.7
8.4,64.7,8.5,19.1,157339.1,0.8,44727.3,0.009,0.082,1.048,97.6,0.0,0.0,19.9,202066.3,60.3,0.0,1.0,0.0,0.0,0.0,96.6,97.6,7.439,12.906,8.763,1.74,80.9,69.1,982.7,0.0,0.0,2020-04-23 10:59:00,2020-04-24 00:40:00,2.1,12.5,14.1,14.5,13.4,12.3,97.9,11.0,98.4,116.0,7.1,2.4,2.2,-2.3,0.3
8.0,67.3,7.7,31.7,233596.9,7.8,80380.2,0.021,0.188,0.817,81.2,0.0,0.0,39.4,313977.1,87.0,0.0,0.0,0.0,0.0,53.4,28.8,81.2,7.719,13.415,9.206,0.05,2.8,83.1,979.9,0.0,0.0,2020-04-24 10:57:00,2020-04-25 00:41:00,28.0,10.6,10.4,13.7,12.0,10.3,93.0,9.0,34.1,39.7,7.1,4.0,4.0,-2.2,-3.3
8.4,64.7,8.5,19.1,157339.1,0.8,44727.3,0.009,0.082,1.048,97.6,0.0,0.0,19.9,202066.3,60.3,0.0,1.0,0.0,0.0,0.0,96.6,97.6,7.439,12.906,8.763,1.74,80.9,69.1,982.7,0.0,0.0,2020-04-23 10:59:00,2020-04-24 00:40:00,2.1,12.5,14.1,14.5,13.4,12.3,97.9,11.0,98.4,116.0,7.1,2.4,2.2,-2.3,0.3
