lat,lon
35.7915,-78.7811
35.9382,-77.7905
35.3849,-77.9928
35.4107,-80.8429
39.3698,-76.4549
39.0068,-76.7791
35.6127,-77.3664
34.0686,-117.9390
33.0370,-117.2920
32.8140,-96.9489
33.2000,-117.2425
34.0007,-81.0348
39.4195,-76.7803
36.0999,-80.2442
35.7796,-78.6382
35.2271,-80.8431
35.2271,-80.8431
34.2104,-77.8868
39.9537,-74.1979
42.2411,-88.3162
42.0778,-87.8223
42.1800,-87.8000
36.1699,-115.1398
35.7345,-81.3445
34.8526,-82.3940
40.2859,-74.3486
40.3968,-74.0916
34.5034,-82.6501
36.1699,-115.1398
33.3528,-111.7890
39.1638,-119.7674
39.4812,-76.6439
34.1899,-118.4514
34.1478,-118.1445
41.9161,-72.5579
41.8239,-79.6837
33.5806,-112.2374
34.9249,-81.0251
40.2480,-74.0298
33.8704,-117.9242
